Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2019,HUILA,162700.838,,,,2.538,-75.5277,Colombia,0.0,732.0,,,,,
2020,HUILA,151494.578,,,,2.538,-75.5277,Colombia,0.0,546.0,,,,,
2021,HUILA,163848.232,,,,2.538,-75.5277,Colombia,0.0,694.0,,,,,
2022,HUILA,188783.872,,,,2.538,-75.5277,Colombia,491.89091,623.0,,,,,
2023,HUILA,329016.511,,,,2.538,-75.5277,Colombia,1102.39301,1191.0,,,,,
2024,HUILA,121963.733,,,,2.538,-75.5277,Colombia,1380.62996,207.0,,,,,
2019,MAGDALENA,188009.114,,,,10.4113,-74.4057,Colombia,0.0,1170.0,,,,,
2020,MAGDALENA,169135.526,,,,10.4113,-74.4057,Colombia,0.0,1000.0,,,,,
2021,MAGDALENA,154458.482,,,,10.4113,-74.4057,Colombia,0.0,870.0,,,,,
2022,MAGDALENA,160041.838,,,,10.4113,-74.4057,Colombia,62.5419,937.0,,,,,
2023,MAGDALENA,169549.585,,,,10.4113,-74.4057,Colombia,80.59523999999999,1432.0,,,,,
2024,MAGDALENA,82803.102,,,,10.4113,-74.4057,Colombia,116.77928,324.0,,,,,
2019,META,188968.746,,,,3.2725,-73.0877,Colombia,0.0,936.0,,,,,
2020,META,185369.12,,,,3.2725,-73.0877,Colombia,0.0,800.0,,,,,
2021,META,160289.202,,,,3.2725,-73.0877,Colombia,0.0,822.0,,,,,
2022,META,189168.49,,,,3.2725,-73.0877,Colombia,2365.0665,937.0,,,,,
2023,META,352383.348,,,,3.2725,-73.0877,Colombia,1465.5517,1714.0,,,,,
2024,META,119780.605,,,,3.2725,-73.0877,Colombia,2640.3457,358.0,,,,,
2019,NARIÑO,252025.566,,,,1.2892,-77.357,Colombia,0.0,1166.0,,,,,
2020,NARIÑO,235671.046,,,,1.2892,-77.357,Colombia,0.0,1074.0,,,,,
2021,NARIÑO,261943.594,,,,1.2892,-77.357,Colombia,0.0,1398.0,,,,,
2022,NARIÑO,277429.6,,,,1.2892,-77.357,Colombia,7461.732199999999,1287.0,,,,,
2023,NARIÑO,380256.122,,,,1.2892,-77.357,Colombia,12876.2979,1937.0,,,,,
2024,NARIÑO,166501.441,,,,1.2892,-77.357,Colombia,13643.1894,389.0,,,,,
2019,NORTE DE SANTANDER,161501.83,,,,7.9209,-72.7384,Colombia,0.0,2374.0,,,,,
2020,NORTE DE SANTANDER,333313.578,,,,7.9209,-72.7384,Colombia,0.0,1534.0,,,,,
2021,NORTE DE SANTANDER,239804.156,,,,7.9209,-72.7384,Colombia,0.0,1610.0,,,,,
2022,NORTE DE SANTANDER,305473.378,,,,7.9209,-72.7384,Colombia,8280.57634,1777.0,,,,,
2023,NORTE DE SANTANDER,402217.267,,,,7.9209,-72.7384,Colombia,10381.12882,2176.0,,,,,
2024,NORTE DE SANTANDER,147034.913,,,,7.9209,-72.7384,Colombia,9298.01359,401.0,,,,,
2019,PUTUMAYO,89544.88,,,,0.4352,-76.6336,Colombia,0.0,370.0,,,,,
2020,PUTUMAYO,73849.194,,,,0.4352,-76.6336,Colombia,0.0,240.0,,,,,
2021,PUTUMAYO,79100.896,,,,0.4352,-76.6336,Colombia,0.0,238.0,,,,,
2022,PUTUMAYO,70614.573,,,,0.4352,-76.6336,Colombia,11968.145,235.0,,,,,
2023,PUTUMAYO,175537.471,,,,0.4352,-76.6336,Colombia,8849.53713,426.0,,,,,
2024,PUTUMAYO,59211.998,,,,0.4352,-76.6336,Colombia,10245.6985,115.0,,,,,
2019,QUINDIO,136099.494,,,,4.5146,-75.69,Colombia,0.0,518.0,,,,,
2020,QUINDIO,213140.156,,,,4.5146,-75.69,Colombia,0.0,554.0,,,,,
2021,QUINDIO,153476.276,,,,4.5146,-75.69,Colombia,0.0,450.0,,,,,
2022,QUINDIO,129711.397,,,,4.5146,-75.69,Colombia,506.04214,378.0,,,,,
2023,QUINDIO,223161.551,,,,4.5146,-75.69,Colombia,51.1559,586.0,,,,,
2024,QUINDIO,111435.813,,,,4.5146,-75.69,Colombia,53.77077,154.0,,,,,
2019,RISARALDA,202837.108,,,,5.3159,-75.8302,Colombia,0.0,770.0,,,,,
2020,RISARALDA,247653.538,,,,5.3159,-75.8302,Colombia,0.0,658.0,,,,,
2021,RISARALDA,266998.416,,,,5.3159,-75.8302,Colombia,0.0,680.0,,,,,
2022,RISARALDA,335189.766,,,,5.3159,-75.8302,Colombia,34.897,701.0,,,,,
2023,RISARALDA,373837.252,,,,5.3159,-75.8302,Colombia,50.5067,960.0,,,,,
2024,RISARALDA,155096.173,,,,5.3159,-75.8302,Colombia,90.5159,176.0,,,,,
2019,SAN ANDRES,12804.684,,,,12.5561,-81.718,Colombia,0.0,124.0,,,,,
2020,SAN ANDRES,19831.978,,,,12.5561,-81.718,Colombia,0.0,108.0,,,,,
2021,SAN ANDRES,28625.876,,,,12.5561,-81.718,Colombia,0.0,114.0,,,,,
2022,SAN ANDRES,21797.865,,,,12.5561,-81.718,Colombia,0.091,106.0,,,,,
2023,SAN ANDRES,18500.453,,,,12.5561,-81.718,Colombia,0.0324,170.0,,,,,
2024,SAN ANDRES,6546.285,,,,12.5561,-81.718,Colombia,0.05,23.0,,,,,
2019,SANTANDER,287775.812,,,,7.1298,-73.1254,Colombia,0.0,2194.0,,,,,
