Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2019,ORELLANA,,,0.0,624594.0,-0.4667,-76.9873,Ecuador,,,non,non,non,non,
2019,PASTAZA,,,7500.0,0.0,-1.4445,-78.0027,Ecuador,,,non,non,non,non,
2019,PICHINCHA,,,5000.0,0.0,-0.2333,-78.5167,Ecuador,,,non,non,non,non,
2019,SANTA ELENA,0.01,11.21,,,-2.2297,-80.8594,Ecuador,10.08,,non,0,25.14,46.4,
2019,SANTO DOMINGO DE LOS TSACHILAS,,,27562.0,0.0,-0.2531,-79.1753,Ecuador,,,non,non,non,non,
2019,SUCUMBIOS,,,12648849.85,120.0,0.0881,-76.8898,Ecuador,,,non,non,non,non,
2019,TUNGURAHUA,0.54,9.14,,,-1.2591,-78.5469,Ecuador,0.0,,non,0,32.2,41.9,
2019,ZAMORA CHINCHIPE,0.0,3.11,,,-4.0689,-78.9513,Ecuador,0.0,,non,0,0.89,4,
2020,AZUAY,0.77,17.4,,,-2.8974,-79.0045,Ecuador,0.0,,non,203,64.88,83,
2020,BOLIVAR,0.0,61.59,,,-1.5932,-79.0193,Ecuador,0.0,,non,49,3.26,64.9,
2020,CARCHI,,,,,0.81,-77.8355,Ecuador,,,1,non,non,non,
2020,CAÑAR,3.06,25.69,,,-2.56,-78.94,Ecuador,0.01,,non,88,9.69,38.4,
2020,CHIMBORAZO,,,8469.83,0.0,-1.6643,-78.6546,Ecuador,,,non,non,non,non,
2020,COTOPAXI,0.0,13.33,,,-0.8082,-78.8084,Ecuador,0.0,,non,116,16.91,30.2,
2020,EL ORO,,,,,-3.2581,-79.9557,Ecuador,,,1,non,non,non,
2020,ESMERALDAS,,,,,0.9682,-79.6517,Ecuador,,,1,non,non,non,
2020,GALAPAGOS,23.32,0.44,,,-0.9538,-90.9656,Ecuador,0.0,,non,33,2.92,26.7,
2020,GUAYAS,,,,,-1.9426,-79.6971,Ecuador,,,1,non,non,non,
2020,IMBABURA,,,6261.79,0.0,0.353,-78.121,Ecuador,,,non,non,non,non,
2020,LOJA,0.0,14.14,,,-3.9931,-79.2042,Ecuador,0.0,,non,173,166.8,180.9,
2020,LOS RIOS,,,0.0,1440.0,-1.4998,-79.476,Ecuador,,,non,non,non,non,
2020,MANABI,,,2900.0,7880.0,-0.7423,-80.0932,Ecuador,,,non,non,non,non,
2020,MORONA SANTIAGO,0.0,4.8,,,-2.9134,-78.2633,Ecuador,0.0,,non,79,13.72,18.5,
2020,NAPO,0.66,82.0,,,-0.9917,-77.8121,Ecuador,0.0,,non,103,255.74,338.4,
2020,ORELLANA,0.02,1.22,,,-0.4667,-76.9873,Ecuador,0.0,,non,71,14.7,15.9,
2020,PASTAZA,,,400.0,19.0,-1.4445,-78.0027,Ecuador,,,non,non,non,non,
2020,PICHINCHA,,,,,-0.2333,-78.5167,Ecuador,,,1,non,non,non,
2020,SANTA ELENA,0.0,1.92,,,-2.2297,-80.8594,Ecuador,1.73,,non,140,3.6,7.3,
2020,SANTO DOMINGO DE LOS TSACHILAS,,,2150.0,0.0,-0.2531,-79.1753,Ecuador,,,non,non,non,non,
2020,SUCUMBIOS,,,,,0.0881,-76.8898,Ecuador,,,2,non,non,non,
2020,TUNGURAHUA,0.41,26.01,,,-1.2591,-78.5469,Ecuador,0.0,,non,219,52.83,79.2,
2020,ZAMORA CHINCHIPE,0.01,3.57,,,-4.0689,-78.9513,Ecuador,0.0,,non,42,2.86,6.4,
2021,AZUAY,2.76,12.56,,,-2.8974,-79.0045,Ecuador,0.0,,non,139,196.76,212.1,
2021,BOLIVAR,0.0,0.33,,,-1.5932,-79.0193,Ecuador,0.0,,non,43,9.55,9.9,
2021,CARCHI,555.78,26.68,10144.02,10.0,0.81,-77.8355,Ecuador,103.65,,1,308,2388.62,3074.7,
2021,CAÑAR,0.02,7.77,,,-2.56,-78.94,Ecuador,0.0,,non,125,6.63,14.4,
2021,CHIMBORAZO,,,1493.7,0.0,-1.6643,-78.6546,Ecuador,,,non,non,non,non,
2021,COTOPAXI,0.65,8.42,,,-0.8082,-78.8084,Ecuador,0.0,,non,150,18.58,27.6,
2021,EL ORO,,,5060.03,0.0,-3.2581,-79.9557,Ecuador,,,non,non,non,non,
2021,ESMERALDAS,103.0,43.22,,,0.9682,-79.6517,Ecuador,0.0,,1,386,2889.89,3036.1,
2021,GALAPAGOS,,,0.0,864.0,-0.9538,-90.9656,Ecuador,,,non,non,non,non,
2021,GUAYAS,,,1749.03,0.0,-1.9426,-79.6971,Ecuador,,,non,non,non,non,
2021,IMBABURA,,,1000.0,0.0,0.353,-78.121,Ecuador,,,non,non,non,non,
2021,LOJA,,,125.0,0.0,-3.9931,-79.2042,Ecuador,,,non,non,non,non,
